,id,Tweet,location,time,polarity,subjectivity,opinion
0,1,"Over 11 lakh cases, human trials of Indian experimental vaccine begin, southern states show spike. Track all the ke… https://t.co/THfKyp6NB4",India,Mon Jul 20 07:26:36 +0000 2020,0.03333333333333333,0.16666666666666666,Positive
1,2,"Now that in some parts of the world the first phase of the Covid-19 seems to be over, the focus is shifting. We can… https://t.co/TLJhBKyvzo",,Mon Jul 20 06:48:33 +0000 2020,0.25,0.3333333333333333,Positive
2,3,"Avoid Humans, A Web App That Helps Users Avoid Other People Using Foursquare and Instagram Data.

#ux #uxbranding… https://t.co/xHCcKFwlQK",Zúrich,Mon Jul 20 06:40:43 +0000 2020,0.0,0.0,Neutral
3,4,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/DGsZB5jgxr","Washington, DC",Mon Jul 20 06:02:00 +0000 2020,0.0,0.0,Neutral
4,5,Covid tracker #covidtracker @ Dunshaughlin https://t.co/erYPtmByz2,"Drumree, Co. Meath, Ireland",Sun Jul 19 17:55:45 +0000 2020,0.0,0.0,Neutral
5,6,Covid tracker #covidtracker @ Dunshaughlin https://t.co/d7OpPB4aiM,"Drumree, Co. Meath, Ireland",Sun Jul 19 17:55:17 +0000 2020,0.0,0.0,Neutral
6,7,"#COVID19Ireland update, 19 July:

25,760 (+10) total cases.

Thankfully, there are no new reported deaths from coro… https://t.co/hU5rWUu42n",Ireland,Sun Jul 19 17:40:13 +0000 2020,0.06818181818181818,0.6022727272727273,Positive
7,8,"@DHSCgovuk @PHE_uk #Rnumber unchanged at 1.02

https://t.co/2YyKJaIHW1

#coronavirus #coronavirusuk #coronavirusUSA… https://t.co/qNkCkYi08i",,Sun Jul 19 16:18:23 +0000 2020,0.0,0.0,Neutral
8,9,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/V8WZFYpL04","Washington, DC",Sun Jul 19 15:02:00 +0000 2020,0.0,0.0,Neutral
9,10,The COVID Tracker app will help the fight against coronavirus. Play your part in slowing the spread. We’ll protect… https://t.co/0ikktEyuU3,Ireland,Sun Jul 19 09:30:26 +0000 2020,0.0,0.0,Neutral
10,11,"Great piece with @coddmeister
by @emmetjryan on #covidtracker this weekend in the  business post. I'm also devourin… https://t.co/Lhh7hSJXc7",Dublin Ireland,Sun Jul 19 09:20:24 +0000 2020,0.8,0.75,Very Positive
11,12,#blacktwitter #CovidTracker I’m surprised that no one is taking About the new tracker installed on your cell phone https://t.co/I87ByC14Pi,,Sat Jul 18 22:19:34 +0000 2020,0.11818181818181818,0.6772727272727272,Positive
12,13,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/FoVS2z1azW","Washington, DC",Sat Jul 18 21:01:00 +0000 2020,0.0,0.0,Neutral
13,14,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/Ak2A3I4aZr","Washington, DC",Sat Jul 18 18:01:00 +0000 2020,0.0,0.0,Neutral
14,15,"#COVID19Ireland update, 18 July:

25,750 (+21) total cases.

Sadly, another two people with coronavirus have died.… https://t.co/gGThHkHzON",Ireland,Sat Jul 18 17:36:11 +0000 2020,-0.25,0.875,Negative
15,16,@nealerichmond @OireachtasNews @HSELive @roinnslainte @merrionstreet Who ever put it together seems to have skipped… https://t.co/pmSqRVe5z5,"London, United Kingdom ",Sat Jul 18 14:45:36 +0000 2020,0.0,0.0,Neutral
16,17,"#CovidTracker Trend charts showing Date-wise and State-wise #COVID19India spread of the virus. 

https://t.co/tndX9Dd7BG",Pan-India,Sat Jul 18 07:44:10 +0000 2020,0.0,0.0,Neutral
17,18,"Question for anyone using the #CovidTracker app
in Ireland. Anyone else keep getting messages that they don’t have… https://t.co/mLe3qqZUM9",Dublin,Sat Jul 18 07:42:10 +0000 2020,0.0,0.0,Neutral
18,19,Covid tracker #covidtracker @ Dunshaughlin https://t.co/Fu1TgllfRC,"Drumree, Co. Meath, Ireland",Sat Jul 18 05:44:02 +0000 2020,0.0,0.0,Neutral
19,20,I forgot to do yesterday 😭 #ocd #covidtracker @ Dunshaughlin https://t.co/25NsRGLTaZ,"Drumree, Co. Meath, Ireland",Sat Jul 18 05:43:24 +0000 2020,0.0,0.0,Neutral
20,21,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/3hhaOw5zP1","Washington, DC",Sat Jul 18 00:01:00 +0000 2020,0.0,0.0,Neutral
21,22,"And you don't think this whole #COVID19 is not likely to be used to infringe on your rights and liberties? 

Sugges… https://t.co/8qFriUL4CL",The Interwebs ,Fri Jul 17 22:13:54 +0000 2020,0.1,0.7,Positive
22,23,"While we work on appraising and summarizing newer #COVID drug trials, here is an older one looking at… https://t.co/Tbm7pJrk3o",Canada,Fri Jul 17 21:34:04 +0000 2020,0.16666666666666666,0.3333333333333333,Positive
23,24,Anyone know how to remove the Covid Tracker from a Note 10?  The app is taking all of my mother's data and I'm the… https://t.co/EsQaZEqSGU,United States,Fri Jul 17 20:14:36 +0000 2020,0.0,0.0,Neutral
24,25,"#COVID19Ireland update, 17 July:

25,730 (+34) total cases.

Sadly, another three people with coronavirus have died… https://t.co/luq21ufffY",Ireland,Fri Jul 17 17:23:04 +0000 2020,-0.25,0.875,Negative
25,26,The #CovidTracker app will help us to protect each other and slow the spread of #coronavirus #COVID19 in Ireland.… https://t.co/bI8pYjKBrZ,"Greystones, Ireland",Fri Jul 17 16:00:41 +0000 2020,-0.30000000000000004,0.39999999999999997,Negative
26,27,"Join our WEBINAR Wed July 22 9:00 EDT as we dive into data from #COVID19tracker this time on #Uganda, #SouthAfrica… https://t.co/rjEQOQqAdE","Washington, DC",Fri Jul 17 15:40:56 +0000 2020,0.0,0.0,Neutral
27,28,What difficulties limit government aid during Covid-19? #Covid19Tracker data shows Rwanda experiences the least dif… https://t.co/5wZuiKallG,Johannesburg,Fri Jul 17 13:00:02 +0000 2020,-0.3,0.4,Negative
28,29,"India has conducted 13,073,718 tests in India till 17th July 2020.

Tracking ten Indian states/UT's that have condu… https://t.co/HIyRc1ov7O",India,Fri Jul 17 12:10:23 +0000 2020,0.0,0.0,Neutral
29,30,"The 10 countries that have recorded highest #COVID19 cases in the world. 

India, with 1,009,406 confirmed #COVID19… https://t.co/FXCpVqY9ru",India,Fri Jul 17 12:08:21 +0000 2020,0.4,1.0,Positive
30,31,"Confirmed #COVID19 cases of top 10 African countries.

#DailyUpdates

For more facts, figures and perspectives from… https://t.co/PU0vbr2Eee",India,Fri Jul 17 12:06:18 +0000 2020,0.3,0.5,Positive
31,32,"#DailyUpdates 

#COVID19 cases in #Africa  

Region wise confirmed #COVID19 cases in Africa are:

▶ #NorthAfrica 13… https://t.co/BRZjzJxK7A",India,Fri Jul 17 12:05:43 +0000 2020,0.55,0.95,Very Positive
32,33,"Tracking five Indian states that have the most #COVID19 infections.

#CoronaTracker #DailyUpdates… https://t.co/BZQ2FVsFI6",India,Fri Jul 17 12:04:12 +0000 2020,0.0,0.0,Neutral
33,34,"Confirmed #COVID19 cases in the Indian subcontinent.

#DailyUpdates

For more compelling facts, figures and perspec… https://t.co/x6jP5P4CvD",India,Fri Jul 17 12:03:06 +0000 2020,0.35,0.8,Positive
34,35,I’m guessing the #CovidTracker is only asking about my COVID symptoms and not a certain dodginess due to last night… https://t.co/MQ6hpn5i9K,"Dublin City, Ireland",Fri Jul 17 11:39:29 +0000 2020,0.029761904761904757,0.33769841269841266,Positive
35,36,"#DailyUpdate

➪ #COVID19: Doubling time of confirmed and deceased cases in India (5 day moving average)

➪ #COVID19… https://t.co/fHq4HvyjnS",India,Fri Jul 17 11:16:28 +0000 2020,0.125,0.7,Positive
36,37,"#DailyUpdate

➪ Total number of cases in the Indian region since the 1000th case

➪ Trend of India #COVID19 Deaths… https://t.co/Suwdbt1DJH",India,Fri Jul 17 11:14:58 +0000 2020,0.0,0.75,Neutral
37,38,"#DailyUpdate
➪ COVID testing: Positivity rate of infections

➪ COVID death rate: Ratio of Total Deaths to Overall C… https://t.co/TBVR1LP4rp",India,Fri Jul 17 11:13:49 +0000 2020,0.0,0.375,Neutral
38,39,"While food remains generally available, farmers are reporting difficulties in selling and transporting their produc… https://t.co/HCDx0Xy4q9","Nairobi, Kenya",Fri Jul 17 10:08:08 +0000 2020,0.4,0.4,Positive
39,40,Link to a cross-country comparison on #COVID19tracker with early insights into how #COVID19 is affecting African co… https://t.co/dFSpAWumJv,"Kampala, Uganda",Fri Jul 17 09:55:51 +0000 2020,0.05,0.15,Positive
40,41,".@IrishDeafSoc and @HSELive have produced Irish Sign Language videos on essential public health information, from f… https://t.co/Nv77LQ7D95","Westmeath, Ireland",Fri Jul 17 09:49:15 +0000 2020,0.0,0.12222222222222222,Neutral
41,42,"#COVID19tracker provides #data &amp; insights on the impact the pandemic has had on #Health &amp; risk behaviour,… https://t.co/B8vG0IEAoZ","Kampala, Uganda",Fri Jul 17 09:39:32 +0000 2020,0.0,0.0,Neutral
42,43,"The COVID Tracker will help in the fight
against coronavirus. Stay safe. Protect
each other. Download the COVID
Tra… https://t.co/Dut51cALaU","Dublin, Cork & Limerick & Online",Fri Jul 17 08:32:00 +0000 2020,0.5,0.5,Positive
43,44,"#DailyUpdates #IndiaFightsCoronavirus  

Visit ORF's #COVIDTracker: https://t.co/GhpmKnVzxf

State-wise distributio… https://t.co/D9oRGl1Qf1",India,Fri Jul 17 07:42:07 +0000 2020,0.0,0.0,Neutral
44,45,"How I Built Simple Covid-19 Tracker App With React JS? 
#react #reactjs #webdevelopment #webdev #webdeveloper… https://t.co/wPZWr4SzDE",Nepal,Fri Jul 17 07:12:11 +0000 2020,0.0,0.35714285714285715,Neutral
45,46,"Miami continues to outperform New York on mask wearing scores in the month of July!!
Check out at… https://t.co/ibbWccYcNQ","New York, USA",Fri Jul 17 06:58:41 +0000 2020,0.13636363636363635,0.45454545454545453,Positive
46,47,"#CoronavirusUpdates: More than 10 lakh cases in India, Oxford University vaccine gives hope, US records 70,000 case… https://t.co/3mWkFJpH8d",India,Fri Jul 17 06:56:37 +0000 2020,0.0,0.0,Neutral
47,48,"I downloaded #CovidTracker app. Worked about 60% of the time. Unfortunately, when I opened it this week, I was aske… https://t.co/FODbTvUBIy",New Zealand,Fri Jul 17 06:15:39 +0000 2020,-0.5,1.0,Negative
48,49,"How to create your own facebook avatar sticker
#blog #bloggerswanted #BounceBackSaLazada #avatar #challenge… https://t.co/JEzZEwiOcw",,Fri Jul 17 05:07:52 +0000 2020,0.0,0.0,Neutral
49,50,"FACEBOOK AVATAR STICKER
CHECK-OUT NOW
#blog
#bloggerswanted
#challenge
#BounceBackSaLazada
#avatar
#CovidTracker… https://t.co/np6YcgCWeM",,Fri Jul 17 04:58:05 +0000 2020,0.0,0.0,Neutral
50,51,"Thanks for 1 Million Guys 
- COVID

#CovidTracker","Jodhpur, India",Fri Jul 17 04:40:11 +0000 2020,0.2,0.2,Positive
51,52,"IF you were unaware and IF you care this update to your phone is real. 

My concern is what happens if/when there a… https://t.co/8OyznYkRVx",Quarantine Zone 9,Fri Jul 17 00:48:54 +0000 2020,0.1,0.4,Positive
52,53,"I keep saying DON’T TAKE ROUND ONE!! Haven’t you seen I Am Legend??? Holy crap, don’t do it!! #NoVaccineForMe… https://t.co/WqN6QKRYw7","Colorado, USA",Thu Jul 16 23:40:14 +0000 2020,-0.5,0.6000000000000001,Negative
53,54,Track #COVID-19 clinical trials in real time. @scientist_com’s Trial Insights is the industry’s first digital repor… https://t.co/SBav69MEy9,San Diego,Thu Jul 16 23:28:13 +0000 2020,0.15,0.2111111111111111,Positive
54,55,@UBALTIMORE students create a #COVID19 Information and Tracker mobile app as part of the University System of Maryl… https://t.co/kSm3e3EDND,"Prince George's County Md., US",Thu Jul 16 23:12:59 +0000 2020,0.0,0.0,Neutral
55,56,"Look, I’m not a Covid denier, but, you have to admit, this is a pretty stupid way of keeping statistics... #COVID19… https://t.co/3K1nFxbwKy","Denver, CO",Thu Jul 16 22:50:01 +0000 2020,-0.27499999999999997,1.0,Negative
56,57,@GovAbbott @leachfortexas @VanTaylorTX @JohnCornyn @SenTedCruz people who are sick with #COVID19 won’t boost the ec… https://t.co/ELXp26x7j8,,Thu Jul 16 22:18:41 +0000 2020,-0.7142857142857143,0.8571428571428571,Very Negative
57,58,@Apple  i don’t appreciate you guys adding a Covid-19 tracker on my phone without my permission... i need ya to rem… https://t.co/qUb7q4xwvK,,Thu Jul 16 21:26:13 +0000 2020,0.0,0.0,Neutral
58,59,"So I do not know about iPhones, but check this out. Saw this post on IG. Did you know you had a Covid tracker added… https://t.co/GxkjlTqe1x",,Thu Jul 16 21:11:33 +0000 2020,0.0,0.0,Neutral
59,60,"An excellent article by @ciaraobrien on the making of Ireland's #CovidTracker app. 

Fair play to @NearForm for pul… https://t.co/AZxzS0kRGf",Ireland,Thu Jul 16 20:57:43 +0000 2020,0.85,0.95,Very Positive
60,61,"Even when #Americans seem stupid, they are still sound more #Intelligence than #Indian as can be inferred from… https://t.co/89FZZcRAvm",Delhi,Thu Jul 16 20:04:48 +0000 2020,-0.19999999999999996,0.7,Negative
61,62,"Out of View: After Public Outcry, #CDC Adds Hospital Data Back to Its Website — for Now

https://t.co/OBmY39J7eF

#CovidTracker
#COVID19","California, USA",Thu Jul 16 20:04:30 +0000 2020,0.0,0.03333333333333333,Neutral
62,63,"Thread cont..from 1/1
West Bengal: 1690
Haryana: 696
Karnataka: 4169 
bangalore :2344
Telangana:1483
J&amp;k:490
Bihar:… https://t.co/xf6PEIMeUK",,Thu Jul 16 18:36:40 +0000 2020,0.0,0.0,Neutral
63,64,"#COVID19Ireland update, 16 July:

25,698 (+21) total cases.

Sadly, another person with coronavirus has died. The d… https://t.co/GKQMYsGWJ6",Ireland,Thu Jul 16 18:23:31 +0000 2020,-0.25,0.875,Negative
64,65,A group of @ubaltmain students created a COVID-19 Information and Tracker mobile app as part of the @Univ_System_MD… https://t.co/zDGGiuPZcs,"Prince George's County Md., US",Thu Jul 16 18:13:10 +0000 2020,0.0,0.0,Neutral
65,66,The #CovidTracker app will help us to protect each other and slow the spread of #coronavirus #COVID19 in Ireland.… https://t.co/6t49mqY5YJ,"Greystones, Ireland",Thu Jul 16 16:30:24 +0000 2020,-0.30000000000000004,0.39999999999999997,Negative
66,67,Covid tracker #covidtracker @ Dunshaughlin https://t.co/zPuxjLnYNM,"Drumree, Co. Meath, Ireland",Thu Jul 16 16:16:05 +0000 2020,0.0,0.0,Neutral
67,68,Covid tracker #covidtracker @ Dunshaughlin https://t.co/n4x2AwVqcf,"Drumree, Co. Meath, Ireland",Thu Jul 16 16:15:33 +0000 2020,0.0,0.0,Neutral
68,69,"#DailyUpdate

➪ Total number of cases in the Indian region since the 1000th case

➪ #COVID19: Test per million popu… https://t.co/lSUy6ZhmGn",India,Thu Jul 16 13:25:43 +0000 2020,0.0,0.75,Neutral
69,70,"#DailyUpdate
➪ #COVID19 tests per mn vs deaths per mn (Top 10 African countries)

➪ #COVID19 tests per mn vs deaths… https://t.co/4JGLnjFAZj",India,Thu Jul 16 13:23:39 +0000 2020,0.25,0.25,Positive
70,71,"#DailyUpdate
➪ COVID testing: Positivity rate of infections

➪ COVID death rate: Ratio of Total Deaths to Overall C… https://t.co/M0SppOXtuT",India,Thu Jul 16 13:22:51 +0000 2020,0.0,0.375,Neutral
71,72,"As per CMS Memorandum ""All LTC staff (including volunteers/vendors who are in on a weekly basis) to receive a singl… https://t.co/gdPRIh5qRK","Brick, NJ",Thu Jul 16 13:03:04 +0000 2020,0.0,0.0,Neutral
72,73,Discover how a diverse team of dedicated experts came together to build one of the world's most successful contact… https://t.co/lPbpWqi7Go,"Tramore, Ireland",Thu Jul 16 13:00:24 +0000 2020,0.75,0.95,Very Positive
73,74,How are low-income earners coping during the Covid-19 pandemic as #Covid19Tracker indicates a decrease in incomes f… https://t.co/KQaoa9IgOc,Johannesburg,Thu Jul 16 13:00:00 +0000 2020,0.0,0.0,Neutral
74,75,"The 10 countries that have recorded highest #COVID19 cases in the world. 

India, with 972,144 confirmed #COVID19 c… https://t.co/5LKUdKPpb6",India,Thu Jul 16 11:01:03 +0000 2020,0.4,1.0,Positive
75,76,"Confirmed #COVID19 cases of top 10 African countries.

#DailyUpdates

For more facts, figures and perspectives from… https://t.co/zMk3gcJsrm",India,Thu Jul 16 10:58:53 +0000 2020,0.3,0.5,Positive
76,77,"#DailyUpdates 

#COVID19 cases in #Africa  

Region wise confirmed #COVID19 cases in Africa are:

▶ #NorthAfrica 13… https://t.co/nK9zJ4eMRd",India,Thu Jul 16 10:58:17 +0000 2020,0.55,0.95,Very Positive
77,78,"Tracking five Indian states that have the most #COVID19 infections.

#CoronaTracker #DailyUpdates… https://t.co/7DhWFctmPT",India,Thu Jul 16 10:56:58 +0000 2020,0.0,0.0,Neutral
78,79,"Confirmed #COVID19 cases in the Indian subcontinent.

#DailyUpdates

For more compelling facts, figures and perspec… https://t.co/8CciQkrcyk",India,Thu Jul 16 10:56:33 +0000 2020,0.35,0.8,Positive
79,80,All this #CovidTracker says to me is close Dublin 🤔🙈😂 https://t.co/j1Kb8G2H6r,"Limerick, Ireland",Thu Jul 16 10:36:00 +0000 2020,0.0,0.0,Neutral
80,81,"According to data, Kenyans are adhering to #coronavirus prevention messages. 89% are washing their hands more, 31%… https://t.co/ba0Y2MhEWW","Nairobi, Kenya",Thu Jul 16 10:20:00 +0000 2020,0.0,0.0,Neutral
81,82,"Help fight the spread of Covid-19 with HSE Ireland's #CovidTracker app.
Your privacy is protected while you protect… https://t.co/KHPoP5kT18",Ireland,Thu Jul 16 09:05:05 +0000 2020,0.0,0.0,Neutral
82,83,Getting ready for work so as always my daily temperature check. Good to go for lunch service today @theoldspotdub H… https://t.co/cq4hDEzXDz,Dublin,Thu Jul 16 08:52:36 +0000 2020,0.3,0.3666666666666667,Positive
83,84,"If your #covidtracker doesn't look like this, then don't come near me https://t.co/YP10P4hkSc","Dublin City, Ireland",Thu Jul 16 08:34:59 +0000 2020,0.1,0.4,Positive
84,85,"Record jump in fresh cases and deaths, Karnataka overtakes Gujarat as fourth worst-hit state, India tally nearing 1… https://t.co/f0AWVVVu5A",India,Thu Jul 16 07:51:36 +0000 2020,0.15,0.25,Positive
85,86,"#DailyUpdates #IndiaFightsCoronavirus  

Visit ORF's #COVIDTracker: https://t.co/GhpmKnVzxf

State-wise distributio… https://t.co/Bb6F51ytPk",India,Thu Jul 16 06:04:27 +0000 2020,0.0,0.0,Neutral
86,87,"@realDonaldTrump is doing what he does best, data hacking. Please help support proper CDC reporting. @CDCgov… https://t.co/FWj07NyJMM","California, USA",Thu Jul 16 02:58:32 +0000 2020,0.5,0.2,Positive
87,88,@abcnews So under Morrisons suppress strategy (aka herd immunity ) we have 289 virus spreaders in Victoria walking… https://t.co/5dEvnrHQ99,Never Never Land,Thu Jul 16 02:38:19 +0000 2020,0.0,0.0,Neutral
88,89,"Twitter should improve the safety of all account holder. 
Web security and app security must improve, no hacking.… https://t.co/Kux6tOqa0C",Global ,Thu Jul 16 01:10:36 +0000 2020,0.0,0.0,Neutral
89,90,Covid tracker #covidtracker @ Dunshaughlin https://t.co/9v2YbaInfJ,"Drumree, Co. Meath, Ireland",Wed Jul 15 22:39:29 +0000 2020,0.0,0.0,Neutral
90,91,Covid tracker #covidtracker @ Dunshaughlin https://t.co/iyQhy06g3u,"Drumree, Co. Meath, Ireland",Wed Jul 15 22:39:07 +0000 2020,0.0,0.0,Neutral
91,92,"I’m going to give the Covid-19 tracing app another go. I’ve moved it to my tray on my iPhone. 
#CovidTracker https://t.co/0BR0cMsVL8","Wellington City, New Zealand",Wed Jul 15 20:43:21 +0000 2020,0.0,0.0,Neutral
92,93,"https://t.co/04MzcIOliQ watch this video 
For mobile phones poco series 
#mobile #Poco #CovidTracker #redmi… https://t.co/rpv00sLn2P","New Delhi, India",Wed Jul 15 19:28:01 +0000 2020,0.0,0.0,Neutral
93,94,"#COVID19Ireland update, 15 July:

25,683 (+11) total cases.

Sadly, two more people with coronavirus have died. The… https://t.co/QqLT4ePFrL",Ireland,Wed Jul 15 18:13:28 +0000 2020,-0.25,0.875,Negative
94,95,"So so proud of the @ExpleoGroup
Ireland team! They worked tirelessly to bring a reliable #covidtracker to the Irish… https://t.co/SUAYScoWWh",Dublin Ireland,Wed Jul 15 17:52:27 +0000 2020,0.4,0.5,Positive
95,96,"Busted!
#COVID19 #florida #CovidTesting #CovidTracker #COVIDTestingScam #hospitals https://t.co/FJS4Vi7UX1",Off the grid,Wed Jul 15 14:19:27 +0000 2020,0.0,0.0,Neutral
96,97,99% feeling good 🤗 🇮🇪 #CovidTracker #StaySafe #WearAMask #WashYourHands #Ireland https://t.co/qLfRoBrnpO,"Sligo, Ireland",Wed Jul 15 13:43:38 +0000 2020,0.7,0.6000000000000001,Very Positive
97,98,Expert innovators with @ExpleoGroup spent the equivalent of almost 591 working days developing the #COVID19tracker.… https://t.co/zhsFLBlZLL,"Dublin, Ireland",Wed Jul 15 13:38:11 +0000 2020,-0.1,0.1,Negative
98,99,Expleo is privileged to have been asked by @HSElive to help deliver the #covidtracker app to the Irish population.… https://t.co/3SOUVnJWSP,Global,Wed Jul 15 13:05:30 +0000 2020,0.0,0.0,Neutral
99,100,"#DailyUpdate

➪ Trend of India #COVID19 deaths since the 100th death

➪ #COVID19: Tests per million vs case fatalit… https://t.co/PhrNAfTFBD",India,Wed Jul 15 12:26:35 +0000 2020,0.0,0.0,Neutral
100,101,"#DailyUpdate

➪ Total number of cases in the Indian region since the 1000th case

➪ #COVID19: Doubling time of conf… https://t.co/9yQ8QbtPPf",India,Wed Jul 15 12:26:35 +0000 2020,0.0,0.75,Neutral
101,102,"#DailyUpdate
➪ COVID testing: Positivity rate of infections

➪ COVID death rate: Ratio of Total Deaths to Overall C… https://t.co/EOEA2rJ2j7",India,Wed Jul 15 12:22:31 +0000 2020,0.0,0.375,Neutral
102,103,"Tracking ten Indian states/UT's that have conducted the most tests per million population 

#DailyUpdates

For more… https://t.co/jkuZbbSExw",India,Wed Jul 15 12:21:42 +0000 2020,0.0,0.0,Neutral
103,104,"The 10 countries that have recorded highest #COVID19 cases in the world. 

USA, with 3,546,278 confirmed #COVID19 c… https://t.co/ymT40sjEXA",India,Wed Jul 15 12:19:44 +0000 2020,0.4,1.0,Positive
104,105,"Confirmed #COVID19 cases of top 10 African countries.

#DailyUpdates

For more facts, figures and perspectives from… https://t.co/42ktXhfGcX",India,Wed Jul 15 12:18:13 +0000 2020,0.3,0.5,Positive
105,106,"#DailyUpdates 

#COVID19 cases in #Africa  

Region wise confirmed #COVID19 cases in Africa are:

▶ #NorthAfrica 12… https://t.co/DaarQKhisr",India,Wed Jul 15 12:17:47 +0000 2020,0.55,0.95,Very Positive
106,107,"Tracking five Indian states that have the most #COVID19 infections.

#CoronaTracker #DailyUpdates… https://t.co/vwrgrj3xB7",India,Wed Jul 15 12:16:19 +0000 2020,0.0,0.0,Neutral
107,108,"Confirmed #COVID19 cases in the Indian subcontinent.

#DailyUpdates

For more compelling facts, figures and perspec… https://t.co/BDDIG9QGxz",India,Wed Jul 15 12:15:56 +0000 2020,0.35,0.8,Positive
108,109,The #CovidTracker app will help us to protect each other and slow the spread of #coronavirus #COVID19 in Ireland.… https://t.co/hxFHLuRne2,"Greystones, Ireland",Wed Jul 15 11:31:06 +0000 2020,-0.30000000000000004,0.39999999999999997,Negative
109,110,"Help fight the spread of Covid-19 with @HSELive’s #CovidTracker app.

Your privacy is protected while you protect y… https://t.co/8NOtKohrh2","Westmeath, Ireland",Wed Jul 15 11:07:16 +0000 2020,0.0,0.0,Neutral
110,111,"There are two ways to download the #CovidTracker app

1: Go to https://t.co/nyuuon76Wx on your phone and follow the… https://t.co/FsJFujGJKm",Sport Ireland Campus,Wed Jul 15 10:53:00 +0000 2020,0.0,0.0,Neutral
111,112,"#WearADamnMask #WearAMask #WearAMaskSaveALife in #Norwich today. Love my @SaintsRugby mask.
#WeAreTheNewsNow… https://t.co/ejK5caVY0g","East Of England, ",Wed Jul 15 10:11:31 +0000 2020,0.5,0.6,Positive
112,113,Why doesn't the #CovidTracker app in Ireland have a daily notification asking people to check in? It's only as good… https://t.co/ixxHeZwPvZ,"Dublin, Ireland.",Wed Jul 15 09:51:48 +0000 2020,0.35,0.30000000000000004,Positive
